#
# Aggregated Blocklist for AbuseIPDB: Indonesia most reported IP addresses.
#
# Number of ips:          521
# Last updated:           2026-09-01 04:18:16
#
# Source:                 https://github.com/borestad/blocklist-abuseipdb
# Stats:                  https://github.com/borestad/blocklist-abuseipdb/tree/main/stats
# Credits 1:              https://www.abuseipdb.com - please support them!
# Credits 2:              https://ipinfo.io - The Trusted Source For IP Address Data
#
103.169.38.90    # ID  AS142331  PT Boombas Carlo Medianet
103.170.97.18    # ID  AS142368  PT Global Data Akses Persada
103.171.85.42    # ID  AS136052  PT Cloud Hosting Indonesia
103.172.20.218   # ID  AS142383  PT Vaiotech Lintas Nusantara
103.172.205.103  # ID  AS136052  PT Cloud Hosting Indonesia
103.173.128.181  # ID  AS9422    PT SOLNET INDONESIA
103.174.115.91   # ID  AS136052  PT Cloud Hosting Indonesia
103.174.175.213  # ID  AS147101  AeroNet by PT Lintas Teknologi Solusindo
103.174.237.120  # ID  AS147106  PT Global Erasiber Teknologi
103.175.209.233  # ID  AS136093  PT Mitra Lintas Multimedia
103.175.212.20   # ID  AS136841  PT MITRA TELEMEDIA MANUNGGAL
103.175.225.238  # ID  AS63859   PT. Eka Mas Republik
103.176.77.65    # ID  AS149364  PT. AwanBit Data Indonesia
103.176.79.117   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.94.238   # ID  AS147141  PT Mitra Internet Indonesia
103.177.15.14    # ID  AS147138  PT Angkasa Pura Sarana Digital
103.178.175.229  # ID  AS137331  PT Cloud Teknologi Nusantara
103.179.216.158  # ID  AS139449  PT Lintas Data Multimedia
103.18.29.50     # ID  AS45706   Tele Globe Global, PT
103.180.123.42   # ID  AS149360  PT Indo Telemedia Solusi
103.180.125.173  # ID  AS141968  PT Industri Kreatif Digital
103.181.143.216  # ID  AS136052  PT Cloud Hosting Indonesia
103.182.189.90   # ID  AS17995   PT iForte Global Internet
103.182.200.10   # ID  AS17995   PT iForte Global Internet
103.182.235.156  # ID  AS17995   PT iForte Global Internet
103.183.22.74    # ID  AS17995   PT iForte Global Internet
103.183.74.214   # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.68     # ID  AS136052  PT Cloud Hosting Indonesia
103.186.30.22    # ID  AS141892  CV Andhika Pratama Sanggoro
103.186.30.230   # ID  AS141892  CV Andhika Pratama Sanggoro
103.186.31.66    # ID  AS141892  CV Andhika Pratama Sanggoro
103.187.165.26   # ID  AS149897  PT Amanusa Telemedia Mahardika
103.187.215.237  # ID  AS133817  PT Inti Data Telematika
103.187.9.13     # ID  AS150546  Dinas Komunikasi dan Informatika Kabupaten Kediri
103.188.168.207  # ID  AS149725  PT Lintas Jaringan Nusantara
103.188.173.113  # ID  AS149736  PT Satria Digital Media
103.188.33.26    # ID  AS4800    PT Aplikanusa Lintasarta
103.189.170.26   # ID  AS139446  PT. Gonet Teknologi Indonesia
103.189.201.159  # ID  AS9341    PT INDONESIA COMNETS PLUS
103.19.109.7     # ID  AS132641  PT Netciti Persada
103.19.78.119    # ID  AS149359  PT Persada Data Multimedia
103.190.171.217  # ID  AS141642  PT Ring Media Nusantara
103.190.28.4     # ID  AS149948  PT Magna Network
103.190.47.11    # ID  AS9341    PT INDONESIA COMNETS PLUS
