#
# Aggregated Blocklist for AbuseIPDB: Indonesia most reported IP addresses.
#
# Number of ips:          971
# Last updated:           2025-10-30 18:33:02
#
# Source:                 https://github.com/borestad/blocklist-abuseipdb
# Stats:                  https://github.com/borestad/blocklist-abuseipdb/tree/main/stats
# Credits 1:              https://www.abuseipdb.com - please support them!
# Credits 2:              https://ipinfo.io - The Trusted Source For IP Address Data
#
103.154.77.6     # ID  AS140481  PT Tonggak Teknologi Netikom
103.154.87.242   # ID  AS131111  PT Mora Telematika Indonesia
103.155.246.62   # ID  AS141078  PT Amanna Media Link
103.156.164.70   # ID  AS63859   PT. Eka Mas Republik
103.157.25.60    # ID  AS141108  Universitas Islam Negeri Sultan Maulana Hasanudin Banten
103.158.162.242  # ID  AS17995   PT iForte Global Internet
103.159.194.121  # ID  AS141145  PT Giga Digital Nusantara
103.159.199.42   # ID  AS131111  PT Mora Telematika Indonesia
103.16.116.47    # ID  AS55688   PT. Beon Intermedia
103.16.198.9     # ID  AS131775  PT. Jupiter Jala Arta
103.160.41.138   # ID  AS141596  PT Wistel Teknologi Solusi
103.160.63.213   # ID  AS140443  PT Herza Digital Indonesia
103.161.185.76   # ID  AS141623  PT Registrasi Neva Angkasa
103.161.188.212  # ID  AS17995   PT iForte Global Internet
103.161.207.2    # ID  AS141627  PT Media Solusi Network
103.162.205.60   # ID  AS141664  PT Jaringan Inti Exadata
103.162.232.27   # ID  AS141667  PT Amboro Integrasi Teknologi Inovasi
103.162.61.220   # ID  AS141648  PT Indo Prima Akses
103.162.62.7     # ID  AS141642  PT Ring Media Nusantara
103.163.139.117  # ID  AS55688   PT. Beon Intermedia
103.163.161.30   # ID  AS141892  CV Andhika Pratama Sanggoro
103.163.231.115  # ID  AS141907  PT Metrosolusi Teknologi Indonesia
103.163.36.243   # ID  AS138886  PT Data Buana Nusantara
103.164.137.206  # ID  AS17995   PT iForte Global Internet
103.164.173.155  # ID  AS138131  CV. NATANETWORK SOLUTION
103.164.194.238  # ID  AS17995   PT iForte Global Internet
103.164.213.42   # ID  AS17995   PT iForte Global Internet
103.164.57.37    # ID  AS141903  PT Natha Buana Indonesia
103.165.127.197  # ID  AS17995   PT iForte Global Internet
103.165.128.173  # ID  AS17995   PT iForte Global Internet
103.165.139.150  # ID  AS17995   PT iForte Global Internet
103.165.156.230  # ID  AS136873  MEGADATA-ISP
103.165.156.59   # ID  AS136873  MEGADATA-ISP
103.165.218.190  # ID  AS17995   PT iForte Global Internet
103.165.222.189  # ID  AS17995   PT iForte Global Internet
103.165.230.210  # ID  AS17995   PT iForte Global Internet
103.165.236.150  # ID  AS17995   PT iForte Global Internet
103.165.236.26   # ID  AS17995   PT iForte Global Internet
103.165.236.27   # ID  AS17995   PT iForte Global Internet
103.165.236.28   # ID  AS17995   PT iForte Global Internet
103.167.5.174    # ID  AS17995   PT iForte Global Internet
103.167.5.186    # ID  AS17995   PT iForte Global Internet
103.168.135.187  # ID  AS38513   PT Aplikanusa Lintasarta
103.168.159.158  # ID  AS142317  PT Cover Network Indonesia
103.168.21.194   # ID  AS142329  Universitas Palangkaraya
103.169.195.33   # ID  AS139967  PT. Yasmin Amanah Media
103.170.105.180  # ID  AS132634  Direktorat E-Goverment Kementerian KOMINFO
103.171.83.35    # ID  AS142373  PT Multi Network Indonesia
103.171.84.20    # ID  AS136052  PT Cloud Hosting Indonesia
103.171.84.217   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.84.81    # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.115   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.117   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.118   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.124   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.131   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.146   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.186   # ID  AS136052  PT Cloud Hosting Indonesia
103.171.85.219   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.118.65   # ID  AS142395  PT Global Internet Indonesia
103.172.18.144   # ID  AS142382  PT Klinik Digital Indonesia JNHOST
103.172.20.218   # ID  AS142383  PT Vaiotech Lintas Nusantara
103.172.204.108  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.127  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.15   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.152  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.219  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.220  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.23   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.4    # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.62   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.204.83   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.205.103  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.205.139  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.205.208  # ID  AS136052  PT Cloud Hosting Indonesia
103.172.205.27   # ID  AS136052  PT Cloud Hosting Indonesia
103.172.70.83    # ID  AS142386  PT JARINGAN LINTAS ARTHA
103.174.114.143  # ID  AS136052  PT Cloud Hosting Indonesia
103.174.114.164  # ID  AS136052  PT Cloud Hosting Indonesia
103.174.114.50   # ID  AS136052  PT Cloud Hosting Indonesia
103.174.115.168  # ID  AS136052  PT Cloud Hosting Indonesia
103.174.115.196  # ID  AS136052  PT Cloud Hosting Indonesia
103.174.115.5    # ID  AS136052  PT Cloud Hosting Indonesia
103.174.115.72   # ID  AS136052  PT Cloud Hosting Indonesia
103.174.115.91   # ID  AS136052  PT Cloud Hosting Indonesia
103.174.122.173  # ID  AS147096  PT Jaya Sejahtra Nugraha
103.174.19.82    # ID  AS131111  PT Mora Telematika Indonesia
103.175.236.26   # ID  AS147121  PT Marva Global Telekomunikasi
103.176.181.36   # ID  AS147133  PT Jafati Mitra Solusindo
103.176.78.13    # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.149   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.151   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.176   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.178   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.193   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.213   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.228   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.240   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.241   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.78.28    # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.115   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.117   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.137   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.139   # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.24    # ID  AS136052  PT Cloud Hosting Indonesia
103.176.79.6     # ID  AS136052  PT Cloud Hosting Indonesia
103.178.3.153    # ID  AS141077  RSTNET
103.179.182.177  # ID  AS142394  PT Cahaya Solusindo Internusa
103.179.217.33   # ID  AS139449  PT Lintas Data Multimedia
103.179.218.243  # ID  AS141596  PT Wistel Teknologi Solusi
103.179.27.93    # ID  AS149333  PT Primadona Media Digitalindo
103.179.56.170   # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.29    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.33    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.44    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.51    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.78    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.56.9     # ID  AS136052  PT Cloud Hosting Indonesia
103.179.57.139   # ID  AS136052  PT Cloud Hosting Indonesia
103.179.57.150   # ID  AS136052  PT Cloud Hosting Indonesia
103.179.57.212   # ID  AS136052  PT Cloud Hosting Indonesia
103.179.57.27    # ID  AS136052  PT Cloud Hosting Indonesia
103.179.57.31    # ID  AS136052  PT Cloud Hosting Indonesia
103.18.133.253   # ID  AS55693   PT. Bangun Abadi Teknologi Indonesia
103.18.79.204    # ID  AS55701   PT. Usaha Adisanggoro
103.181.142.108  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.142.133  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.142.228  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.142.244  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.10   # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.104  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.216  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.223  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.232  # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.69   # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.85   # ID  AS136052  PT Cloud Hosting Indonesia
103.181.143.99   # ID  AS136052  PT Cloud Hosting Indonesia
103.182.189.90   # ID  AS17995   PT iForte Global Internet
103.182.192.126  # ID  AS17995   PT iForte Global Internet
103.182.192.22   # ID  AS17995   PT iForte Global Internet
103.182.192.6    # ID  AS17995   PT iForte Global Internet
103.182.195.18   # ID  AS17995   PT iForte Global Internet
103.182.234.219  # ID  AS17995   PT iForte Global Internet
103.183.74.130   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.74.187   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.74.214   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.74.46    # ID  AS136052  PT Cloud Hosting Indonesia
103.183.74.60    # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.135   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.150   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.162   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.172   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.228   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.239   # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.47    # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.48    # ID  AS136052  PT Cloud Hosting Indonesia
103.183.75.90    # ID  AS136052  PT Cloud Hosting Indonesia
103.184.122.103  # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.122.120  # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.122.124  # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.122.39   # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.122.46   # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.122.84   # ID  AS149705  PT Wijaya Trimitra Indonesia
103.184.128.219  # ID  AS149680  CV Restu Media
103.184.180.40   # ID  AS45305   Lintas Data Prima, PT
103.186.0.100    # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.155    # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.19     # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.68     # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.79     # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.9      # ID  AS136052  PT Cloud Hosting Indonesia
103.186.0.99     # ID  AS136052  PT Cloud Hosting Indonesia
103.186.1.120    # ID  AS136052  PT Cloud Hosting Indonesia
103.186.1.197    # ID  AS136052  PT Cloud Hosting Indonesia
